Question,Answer,Furigana,Meaning,Example,Translation,VocabWords
"名刺","めいし","めい.し","business card, (business) card case.","「私の名刺です。追加情報があったらいつでも連絡下さい」と記者は言った。","Here is my business card. Please call me anytime with more information, said the reporter.","有名, 名前, 名字, 署名, 刺激, 刺身"
"竜巻","たつまき","たつ.まき","tornado, whirlwind.","村に竜巻が起こった。","There was a tornado in the village.","恐竜, 竜王, 竜宮, 寝巻, 圧巻, 席巻, 登竜門, 寝巻き, 巻添え"
"記録","きろく","き.ろく","record, document.","今年になってやっとこれらの記録がみんなに利用できるようになった。","It was not until this year that these documents were made available to the public.","日記, 記憶, 記事, 記者, 録音, 登録, 目録, 録画"
"恐怖","きょうふ","きょう.ふ","fear, dread.","私は恐怖で気も狂わんばかりだった。","I almost went crazy with fear.","恐縮, 畏怖"
"喪失","そうしつ","そう.しつ","loss, forfeit.","水不足は森林の喪失によって起こる。","Water shortage is caused by the loss of forests.","喪主, 喪服, 失業, 失敗, 失望, 失格"
"表情","ひょうじょう","ひょう.じょう","facial expression, countenance.","彼の頭がさっと怒りの表情に変わるのを見た。","I saw his face switch to anger.","代表, 発表, 表現, 感情, 事情, 情報, 情け深い"
"照明","しょうめい","しょう.めい","illumination, lighting.","我々は明るさを抑えた照明の中でダンスをした。","We danced in the subdued lighting.","対照, 参照, 説明, 明後日"
"証明","しょうめい","しょう.めい","proof, testimony.","私が間違っていない事を証明しよう。","I'll show you that I am right.","保証, 証拠, 証券, 説明, 明後日"
"圏外","けんがい","けん.がい","outside (a region, area, etc.), out of range (of a mobile network, radar, etc.).","","","圏内, 外国, 外科, 首都圏, 成層圏, 北極圏"
"県外","けんがい","けん.がい","outside the prefecture, person from outside the prefecture.","","","県庁, 県立, 県警, 県内, 外国, 外科"
"容疑","ようぎ","よう.ぎ","suspicion, charge.","その役人は建設会社から賄賂を受け取った容疑をかけられた。","The official was suspected of accepting bribes from the construction companies.","内容, 容易, 容器, 美容, 疑問, 懐疑, 容易い"
"勇敢","ゆうかん","ゆう.かん","brave, courageous.","彼は勇敢でかいかつな少年だ。","He is a brave and cheerful boy.","勇気, 勇者, 勇退, 果敢, 敢行, 敢闘"
"勇気","ゆうき","ゆう.き","courage, bravery.","我々は彼女の勇気に感心する。","We admire her for her bravery.","勇敢, 勇者, 勇退, 元気, 気配, 湯気, 気質, 天気"
"公表","こうひょう","こう.ひょう","official announcement, proclamation.","彼はそれを公表すると脅した。","He threatened to make it public.","公園, 公平, 公式, 代表, 発表, 表現, 公務員"
"好評","こうひょう","こう.ひょう","favorable reception, good reputation.","その劇は好評を得た。","The play got a favorable notice.","格好, 友好, 評価, 評判, 批評, 評論, 大好き, 好き好き"
"保育園","ほいくえん","ほ.いく.えん","nursery school, day nursery.","しげみちゃんを保育園に迎えに行ってもらえる？","Could you please pick Shigemi up for me at the day-care center?","保存, 保証, 保健, 確保, 教育, 体育, 育児, 公園, 園芸, 動物園, 幼稚園"
"苦労","くろう","く.ろう","trouble, hardship.","せっかくの苦労もあだになった。","All my pains went for nothing.","苦痛, 労働, 疲労, 過労, 見苦しい"
"番組","ばんぐみ","ばん.ぐみ","program (e.g. TV), programme.","今晩どんな番組がありますか。","What's on the air this evening?","一番, 番号, 交番, 順番, 組合, 組織"
"曲げる","まげる","ま","to bend, to crook.","少年は考えを曲げなかった。","The boy persisted in his opinion.","作曲, 曲線"
"保管","ほかん","ほ.かん","charge, custody.","領収書は必ず保管してください。","Make sure you save the receipt.","保存, 保証, 保健, 確保, 管理, 血管, 管轄"
"料金","りょうきん","りょう.きん","fee, charge.","料金は会計係へ払って下さい。","Pay your dues to the treasurer.","料理, 給料, 材料, 食料, 針金, 賃金, 金槌, 食料品, 金曜日"
"値引き","ねびき","ね.び","price reduction, discount.","価格を値引きする店もあります。","Some stores discount the price.","値段, 価値, 引退, 字引, 長引く, 引き出し, 引っ越す"
"半","はん","はん","half, semi-.","半時間したら彼はここに来るでしょう。","He will be here in half an hour.",""
"額","がく","がく","(picture) frame, framed picture.","ボブは装飾された額にその肖像画を収めたけれど、上下さかさまだった。","Bob mounted the portrait in a fancy frame, but it was upside down.",""
"語尾","ごび","ご.び","(inflectional) ending of a word, end of a sentence.","「―osity」は語尾が「―ous」の形容詞から作られる抽象名詞の語尾。","'-osity' is an abstract noun word ending created from the ending of an '-ous' adjective.","英語, 物語, 言語, 尻尾, 尾根, 末尾, 最後尾"
"超音波","ちょうおんぱ","ちょう.おん.ぱ","ultrasonic waves, ultrasound.","超音波検査をしましょう。","I'd like you to have an ultrasound.","超過, 超越, 音楽, 本音, 発音, 物音, 電波, 津波, 波乱, 荒波"
"全力","ぜんりょく","ぜん.りょく","all one's power (strength, energy, efforts), one's utmost.","私にできるのは全力を尽くすことだけです。","All I can do is to do my best.","全部, 安全, 完全, 強力, 努力, 能力, 力強い"
"注ぐ","そそぐ","そそ","to pour (into), to sprinkle on (from above).","私はビニール袋にワインを注ぎ、それからそれを氷水に付けた。","I poured the wine in a plastic bag and then dipped it in ice water.","注意, 注射"
"相撲","すもう","すもう","sumo (wrestling), sumo wrestler.","ここでは私は議論を、なぜ相撲の好きな外国人が多いか、に限定したい。","Here, I'll confine this discussion to why many foreigners enjoy sumo.","相手, 首相, 打撲, 撲滅, 相応しい, 相変わらず"
"足腰","あしこし","あし.こし","legs and loins, lower body.","彼は息子達と一緒に遠くまでハイキングに出かけた時、体調が思わしくなかったので、その翌日、足腰が痛くて思うように動けなかった。","He was out of shape when he took a long hike with his sons, and he was stiff and sore the next day.","不足, 満足, 裸足, 本腰, 腰掛け"
"台所","だいどころ","だい.どころ","kitchen, financial situation.","メアリーは階段をおりて台所へ行った。","Mary went down to the kitchen.","台風, 舞台, 灯台, 近所, 余所, 事務所"
"厨房","ちゅうぼう","ちゅう.ぼう","kitchen, galley.","","","厨子, 冷房, 暖房, 女房, 厨二病, 文房具"
"習慣","しゅうかん","しゅう.かん","habit, (social) custom.","彼はたばこを吸う習慣をやめた。","He got out of the habit of smoking.","練習, 予習, 復習, 慣習"
"家庭","かてい","か.てい","home, household.","食事は家庭で食べますか、外食ですか。","Do you eat at home or eat out?","家族, 家賃, 校庭, 庭園, 中庭"
"過程","かてい","か.てい","process, course.","その過程を彼に説明した。","I explained the process to him.","過去, 通過, 程度, 日程, 課程, 方程式, 通り過ぎる"
"調理場","ちょうりば","ちょう.り.ば","kitchen.","","","順調, 調査, 調子, 料理, 無理, 理由, 地理, 管理, 場所, 会場, 工場, 駐車場, 飛行場"
"昆布","こんぶ","こん.ぶ","kombu (usu. Saccharina japonica), konbu.","","","昆虫, 財布, 分布, 布団, 座布団, 昆虫採集"
"含む","ふくむ","ふく","to contain, to comprise.","このビタミン剤は栄養分を豊富に含んでいる。","The vitamin pill contains abundant nutrition.","含有"
"階層","かいそう","かい.そう","class, level.","階層問題に対する、消費社会論の著である。","It is a literary work confronting the class problem of a consumer society.","階段, 段階, 階級, 一層, 高層, 大層, 断層, 二階建て"
"改装","かいそう","かい.そう","remodelling, remodeling.","家を改装してもらいたいのです。","I want you to refurbish the house.","改善, 改造, 改正, 装置, 衣装, 服装, 包装, 武装"
"海藻","かいそう","かい.そう","seaweed, sea vegetable.","","","海岸, 海外, 海洋, 藻類, 毬藻, 海水浴, 珪藻土"
"旨味","うまみ","うま.み","good flavor (flavour), good taste.","おいしい食事をありがとう。","Thanks for the delicious meal.","要旨, 趣旨, 論旨, 意味, 興味, 美味しい"
"表現","ひょうげん","ひょう.げん","expression, representation.","「潮時というものがある」という表現は実はシェイクスピアの「ジュリアス・シーザー」にある表現である。","There is a tide is, in fact, from a passage in Shakespeare's Julius Caesar.","代表, 発表, 現金, 現在"
"自慢","じまん","じ.まん","pride, boast.","われわれは体力を自慢した。","We took pride in our strength.","自然, 我慢, 慢性, 傲慢, 怠慢, 自転車, 自惚れ, 自動車"
"誇り","ほこり","ほこ","pride, boast.","イギリス人は自国の詩人を誇りにしている。","England is proud of her poets.","誇張, 誇示"
"幾つ","いくつ","いく","how many, how old.","いいえ、おもちゃがいくつあるかじゃなくて、鍵がいくつあるかなのよ。","No, not how many toys, how many keys?","幾何, 幾分"
"奥谷","おくたに","おく.たに","Okutani, Okudani.","","","奥様, 奥山, 谷川, 渓谷, 渋谷, 谷間, 奥行き"
"組","くみ","くみ","class (of students), group (of people).","彼はその組の首席だ。","He is at the head of the class.",""
"神代","かみよ","かみ.よ","ancient time, age of the gods.","","","神経, 神社, 精神, 神様, 時代, 交代, 現代"
"知事","ちじ","ち.じ","prefectural governor, gubernatorial election.","州知事は囚人達を自由の身にした。","The governor set the prisoners free.","知恵, 事故, 仕事, 見事, ご存知, 事務所"
"都","みやこ","みやこ","capital (esp. Kyoto, Japan's former capital), seat of government.","ロンドンはもはや霧の都ではない。","London is no longer a city of fog.",""
"認める","みとめる","みと","to recognize, to recognise.","我々は彼の才能を認めている。","We appreciate his talent.","確認, 承認, 公認, 認識"
"府","ふ","ふ","(urban) prefecture (i.e. Osaka and Kyoto), centre (e.g. of learning).","府県はフランスや日本の行政区域である。","Prefectures are governmental divisions of France and Japan.",""
"昭和","しょうわ","しょう.わ","Shōwa era (1926.12.25-1989.1.7), reminiscent of the Shōwa era.","昭和１０年は西暦１９３５年です。","The 10th year of Showa is 1935 in the Western calendar.","遍昭, 昭栄, 平和, 和服, 英和"
"出店","しゅってん","しゅっ.てん","opening a new store, opening a new branch.","届け出なしに路上に出店してはならない。","You may not set up a roadside stall without prior notice.","出口, 提出, 出身, 店員, 支店, 書店, 喫茶店, 引き出し"
"創業","そうぎょう","そう.ぎょう","establishment (of a business), founding.","","","創作, 創造, 創立, 創刊, 独創, 授業, 工業, 産業, 卒業, 営業"
"固有","こゆう","こ.ゆう","characteristic, traditional.","羽は鳥に固有のものだ。","Feathers are peculiar to birds.","固定, 頑固, 有名, 有無, 有効, 有様, 有難い"
"県知事","けんちじ","けん.ち.じ","prefectural governor.","その県知事は７月の選挙で勝利をおさめました。","The prefectural governor got the upper hand in the July elections.","県庁, 県立, 県警, 県内, 知恵, 事故, 仕事, 見事, ご存知, 事務所"
"加茂","","","Kamo eggplant (Solanum melongena; round variety originally grown in Kyoto).","","","参加, 増加, 加減, 繁茂, 生い茂る"
"当時","とうじ","とう.じ","at that time, in those days.","我々はその当時よく放課後に野球をしたものだった。","We would play baseball after school in those days.","本当, 適当, 時間, 時々, 何時, 時計, 時代, お弁当"
"田部","たなべ","たな.べ","Tanabe, Tabu.","","","水田, 田舎, 田園, 全部, 部屋, 部長, 部分, 田植え, 大部分"
"名字","みょうじ","みょう.じ","surname, family name.","あなたの名字はどうつづるのですか。","How do you spell your family name?","有名, 名前, 署名, 漢字, 数字, 文字"
"翌年","よくねん","よく.ねん","following year, next fiscal year.","その会社の会計年度は４月から翌年の３月迄である。","The company's financial year runs from April until March of the following year.","翌日, 翌朝, 翌月, 翌週, 来年, 今年, 去年, 一昨年"
"菜漬け","なづけ","な.づ","greens pickled in salt (mizuna, mustard leaves, etc.).","","","野菜, 白菜, 惣菜, 菜食, 山菜, 漬物, 漬け物, 塩漬け"
"石臼","いしうす","いし.うす","stone mortar, millstone.","","","石油, 石鹸, 磁石, 流石, 脱臼, 臼歯, 亜脱臼"
"挽く","ひく","ひ","to saw, to grind (e.g. coffee beans).","マメちゃんがコーヒー豆を挽く為にコーヒーミルを使います。","Mame uses a coffee mill to grind coffee beans.","挽肉, 挽歌, 挽回, 挽茶, 挽き肉"
"粉","こな","こな","flour, meal.","この小麦は粉にされる。","This wheat is made into flour.",""
"工程","こうてい","こう.てい","process, operation.","それをざっくりと各工程に割り振ったものです。","I just roughly allocated it to each function.","工業, 工夫, 工場, 大工, 人工, 程度, 過程, 日程, 課程, 方程式"
"混ぜる","まぜる","ま","to mix, to stir.","水を加え、練り粉がどろどろしない程度に混ぜなさい。","Add water and mix to a firm dough.","混乱, 混雑"
"粘土","ねんど","ねん.ど","clay, clay tablet.","彼は粘土で像を形作った。","He shaped the statue from clay.","粘着, 土地, 土曜, 土曜日, お土産, 粘り強い"
"布","ぬの","ぬの","cloth, fabric.","この布は裂けやすい。","This cloth tears easily.",""
"生地","きじ","き.じ","cloth, fabric.","生地を預ければドレスを仕立ててくれますか。","Will you make me up a dress if I give you the material?","学生, 地震, 地図, 地理, 誕生日, 地下鉄, 一生懸命"
"状態","じょうたい","じょう.たい","state, condition.","その古家はひどい状態であった。","The old house was in bad shape.","現状, 症状, 状況, 病状, 態度, 事態, 重態, 実態"
"込める","こめる","こ","to load (a gun, etc.), to charge.","彼はこの銃に弾丸を込めたままにしている。","He keeps this gun loaded.","意気込む, 申し込む, 突っ込む, 飛び込む"
"材料","ざいりょう","ざい.りょう","materials, ingredients.","小麦粉はケーキの主な材料だ。","Flour is the main ingredient in cakes.","木材, 材木, 取材, 人材, 料理, 給料, 食料, 食料品"
"例文","れいぶん","れい.ぶん","example sentence, illustrative sentence.","例文の選定がまずかったです。","The choice of example sentence wasn't wise.","例外, 実例, 文章, 注文, 文字, 作文"
"値する","あたいする","あたい","to be worth, to be worthy of.","あの博物館はくるに値する。","That museum is worth visiting.","値段, 価値, 値引き"
"生","なま","なま","raw, uncooked.","アメリカ人にはよくあることだが彼はなまの魚を好かない。","As is often the case with Americans, he does not care for raw fish.",""
"酒","さけ","さけ","alcohol, sake.","僕は酒も煙草もやらないんだ。","I neither drink nor smoke.",""
"地","ち","ち","earth, ground.","どっちが最終的な安息の地となるんだろう。","Which one will be our final resting place?",""
"出汁","だし","だ.し","dashi, pretext.","","","出口, 提出, 出身, 果汁, 汁気, 胆汁, 味噌汁, 引き出し"
"醤油","しょうゆ","しょう.ゆ","soy sauce, soya sauce.","同社は醤油その他の食品を生産する。","The company produces soy sauce and other food products.","肉醤, 石油, 油絵, 灯油"
"一期一会","いちごいちえ","いち.ご.いち.え","once-in-a-lifetime encounter, uniquely precious experience.","あの人と巡り会えたのは、一期一会なのでしょうか。","Our meeting like that is probably the kind of thing that only happens once.","一緒, 一番, 唯一, 延期, 期間, 期待, 時期, 長期, 会社, 会議, 会場, 一昨日, 出会う"
"汁","しる","しる","juice, sap.","彼女は御茶にレモンの汁をたらした。","She dropped lemon juice into her tea.",""
"味噌","みそ","み.そ","miso, innards (from crabs, shrimps, etc.) resembling miso.","この電子辞書は携帯しやすいところが味噌です。","The good thing about this electronic dictionary is that it's easy to carry.","意味, 興味, 美味しい"
"一般","いっぱん","いっ.ぱん","general, universal.","その理論はまだ一般に認められていない。","The theory is not accepted yet.","一緒, 一番, 唯一, 全般, 一昨日"
"比較","ひかく","ひ.かく","comparison, comparatively.","あなたの答えとトムの答えと比較しなさい。","Compare your answer with Tom's.","比率, 比例, 較差, 較正"
"館内","かんない","かん.ない","inside a library, museum, cinema, etc., on the premises.","館内に案内所がありますか。","Is there an information counter?","旅館, 以内, 家内, 案内, 図書館, 大使館, 映画館, 美術館"
"案内所","あんないじょ","あん.ない.じょ","information desk.","館内に案内所がありますか。","Is there an information counter?","提案, 答案, 案外, 以内, 家内, 近所, 台所, 余所, 事務所"
"閲覧","えつらん","えつ.らん","inspection, reading.","定期雑誌類は閲覧室より帯出禁止。","Periodicals may not be removed from the reading room.","検閲, 校閲, 観閲, 展覧会, 博覧会"
"日付","ひづけ","ひ.づけ","date, dating.","その手紙の日付はいつですか。","What's the date of the letter?","毎日, 日記, 日本, 寄付, 受付, 火曜日, 見付ける, 片付ける"
"月毎","つきごと","つき.ごと","monthly.","","","今月, 月給, 先月, 毎週, 毎日, 毎朝, 毎晩, 三日月, 生年月日"
"施設","しせつ","し.せつ","facility, facilities.","教育施設を拡充する金をもっと多くと望んでいる。","People want more money to expand educational institutions.","実施, 施行, 布施, 建設, 設計, 設備, 設置"
"内","うち","うち","inside, within.","エイズが私が生きているうちに治ることを願っているよ。","I have a dream that AIDS will be cured in my lifetime.",""
"受付","うけつけ","うけ.つけ","reception (desk), information desk.","きれいな花が受付のデスクに飾ってありました。","There were beautiful flowers on the reception desk.","受験, 受信, 寄付, 日付, 受話器, 見付ける, 片付ける"
"宅配","たくはい","たく.はい","home delivery, express home delivery service.","これはかさばるから宅配便で送ろう。","This is bulky, so I'll send it by home delivery.","住宅, 帰宅, 邸宅, 支配, 心配, 配達, 分配"
"出火","しゅっか","しゅっ.か","outbreak of fire.","出火のときはそのボタンを押してください。","In case of fire, push the button.","出口, 提出, 出身, 花火, 火傷, 火事, 火曜日, 引き出し"
"出","で","で","coming out, going out.","彼は貴族の出である。","He springs from a noble family.",""
"屋敷","やしき","や.しき","residence, estate.","彼はいなかの屋敷に住んでいる。","He lives on his country estate.","部屋, 屋上, 屋外, 床屋, 敷地, 座敷, 敷金, 八百屋, 風呂敷"
"洋子","きよこ","きよ.こ","Kiyoko, Namiko.","","","洋服, 西洋, 東洋, 海洋, 洋風, 帽子, 子供, 双子, 椅子, 王子"
"遺体","いたい","い.たい","(dead) body, corpse.","その遺体の身元は頬のほくろで確認された。","The dead body was identified by a mole on the cheek.","遺跡, 遺産, 遺言, 遺憾, 大体, 体裁, 一体, 全体"
"原因","げんいん","げん.いん","cause, origin.","それで事故の原因が分かった。","That accounts for the accident.","原稿, 原理, 要因, 死因, 因果"
"足","あし","あし","foot, paw.","また足がしびれた。","My foot's asleep again!",""
"跡","あと","あと","trace, tracks.","その女性の顔には悲しみの跡があった。","The woman's face was marked with grief.",""
"調査","ちょうさ","ちょう.さ","investigation, examination.","その調査は進行中です。","The investigation is under way.","順調, 調子, 検査, 巡査, 捜査, 審査"
"死因","しいん","し.いん","cause of death.","叔父の死因は癌だったそうです。","I hear my uncle died of cancer.","死亡, 必死, 死体, 死刑, 原因, 要因, 因果"
"母","はは","はは","mother, wife.","でもさ、母を連れて行かなくてはいけないんだ。","But, I have to take my mother.",""
"親","おや","おや","parent, parents.","アナは、親が知らないうちに結婚した。","Anna married without the knowledge of her parents.",""
"予約","よやく","よ.やく","reservation, appointment.","「ホテルの予約はしてありますか」「すみませんが、まだなんです」","Have you reserved a hotel room? Sorry, not yet.","予定, 予習, 約束, 契約, 婚約, 節約, 天気予報"
"に関して","にかんして",".かん","regarding ..., concerning ...","サムは仕事に関してまじめです。","Sam is serious about his work.","玄関, 関係, 関心, 関連"
"宿","やど","やど","lodging, inn.","宿の主人は召使い達にがなりたてた。","The landlord barked at his servants.",""
"勿論","もちろん","もち.ろん","of course, certainly.","「ご一緒してもいいですか」「もちろんです」","May I go with you? Of course.","勿体, 議論, 結論, 論文, 論争, 勿の論, 勿体ない, 事勿れ主義"
"荘","しょう","しょう","manor, villa.","私たち自身が部屋を飾ったのです。","We decorated the room ourselves.",""
"不審","ふしん","ふ.しん","doubt, suspicion.","警官が不審な歩行者をじっと見つめていた。","A policeman was gazing at a suspicious pedestrian.","不便, 不安, 不幸, 不正, 審判, 審議, 審査, 審理, 不自由"
"勘弁","かんべん","かん.べん","pardon, forgiveness.","同じことを何回繰り返すの。屋上屋を架すようなくどい説明は勘弁してよ。","You're wasting your time with all this needless repetition, so spare us the long-winded explanation.","勘定, 勘案, 弁当, 弁護, 弁解, 弁論, 勘違い, お弁当"
"英語圏","えいごけん","えい.ご.けん","English-speaking world, English-speaking countries.","","","英文, 英和, 和英, 英雄, 物語, 言語, 圏内, 圏外, 首都圏, 成層圏, 北極圏"
"先々","さきざき","さき.ざき","distant future, inevitable future.","彼は出かけた先々で歓迎された。","He was welcomed wherever he went.","先月, 先週, 真っ先"
"先々週","せんせんしゅう","せん.せん.しゅう","week before last.","","","先月, 先週, 今週, 毎週, 来週, 真っ先"
"歴史","れきし","れき.し","history, historical.","私は地理より歴史が好きだ。","I prefer history to geography.","学歴, 経歴, 史上, 女史, 履歴書"
"長年","ながねん","なが.ねん","many years, a long time.","彼は外国に長年住んでいた。","He lived abroad for many years.","課長, 長閑, 校長, 来年, 今年, 去年, 長引く, 一昨年"
"欄","らん","らん","section (e.g. in a newspaper), column.","一番最初に見るのはスポーツ欄だよ。","I always read the sports page first.",""
"旅館","りょかん","りょ.かん","ryokan, traditional Japanese inn.","あの旅館は家庭的だ。","The hotel has a homey atmosphere.","旅行, 旅券, 旅客, 図書館, 大使館, 映画館, 美術館"
"同様","どうよう","どう.よう","same, similar.","この車は新車同様だ。","This car is like new.","同時, 共同, 同一, 様々, 模様, 王様, 様子"
"提供","ていきょう","てい.きょう","offer, tender.","Microsoftがβ版をランチするのは「NetShow streaming server」で動画や音声をオンデマンドで提供する。","What Microsoft is launching is a beta version of its NetShow streaming server; it supplies video and audio on demand.","提案, 提出, 前提, 提携, 供給, 子供, 供述, 子供たち"
"日本式","にほんしき","に.ほん.しき","Japanese style, Nihon-shiki romanization (of Japanese).","その庭園は日本式に設定されている。","The garden is laid out in the Japanese style.","毎日, 日記, 本当, 本棚, 根本, 正式, 形式, 公式, 儀式, 火曜日"
"式","しき","しき","way, style.","彼は事故でその式に出席できなかった。","An accident prohibited his attending the ceremony.",""
"木造","もくぞう","もく.ぞう","wooden, made of wood.","どちらかといえば木造住宅に住みたい。","I'd rather live in a wooden house.","大木, 木綿, 並木, 製造, 改造, 木曜日, 荷造り"
"船","ふね","ふね","ship, boat.","彼らは船を岸に引き上げた。","They drew their boat on the beach.",""
"階建","かいだて","かい.だて","n-storied building.","私の家は2階建てです。","My house is a two-story affair.","階段, 段階, 階級, 建設, 建物, 建築"
"安い","やすい","やす","cheap, inexpensive.","これはバーゲン商品なので定価よりやすくなっているんじゃないですか。","Aren't you selling this at a discount price?","安心, 安全, 目安, 安定"
"安眠","あんみん","あん.みん","sound sleep, good sleep.","","","安心, 安全, 目安, 安定, 睡眠, 冬眠, 居眠り"
"安値","やすね","やす.ね","low price.","","","安心, 安全, 目安, 安定, 値段, 価値, 値引き"
"安全","あんぜん","あん.ぜん","safety, security.","君は自分の安全にもっと気を配るべきだ。","You should be more thoughtful of your safety.","安心, 目安, 安定, 全部, 完全"
"責任","せきにん","せき.にん","duty, responsibility (incl. supervision of staff).","けんかは両方に責任がある。","It takes two to make a quarrel.","責務, 就任, 主任"
"仕方","しかた","し.かた","way, method.","あなたはチェスの仕方を知っていますか。","Do you know how to play chess?","仕事, 奉仕, 一方, 夕方, 両方, 仕組み, 仕上げ"
"大","おお","おお","large, big.","大口叩きは何もできない。","Great talkers are little doers.",""
"浴場","よくじょう","よく.じょう","bathhouse, (public) bath.","これが原因でたいていの街の浴場は困難な状態に陥った。","This caused most of the local bath-houses to fall on hard times.","浴衣, 入浴, 浴室, 場所, 会場, 工場, 海水浴, 駐車場, 飛行場"
"外観","がいかん","がい.かん","outward appearance, exterior appearance.","Windows Media Playerの新しいスキンを入手し、プレーヤーの外観を変えてみましょう。","Why don't you try out getting a new Windows Media Player skin and changing the player's look?","外国, 外科, 観客, 観光, 観察, 観測, 観念"
"内観","ないかん","ない.かん","introspection, view from the inside.","","","以内, 家内, 案内, 観客, 観光, 観察, 観測, 観念"
"覚悟","かくご","かく.ご","readiness, (mental) preparedness.","兵士たちは故国のために死ぬ覚悟が出来ていた。","The soldiers were ready to die for their country.","感覚, 大悟, 目覚まし, 悟りが早い"
"心の準備","こころのじゅんび","こころ..じゅん.び","mental preparedness, being braced for.","","","安心, 用心, 心地, 関心, 水準, 基準, 標準, 準急, 設備, 整備"
"巻","まき","まき","roll (e.g. of cloth), winding (e.g. watch).","この全集の５巻目が見当たらない。","The fifth volume of this set is missing.",""
"巻く","まく","ま","to wind, to coil.","長い物には巻かれろ。","If you can't lick 'em, join 'em.","寝巻, 圧巻, 席巻, 寝巻き, 巻添え"
"上品","じょうひん","じょう.ひん","elegant, refined.","彼女は行儀が極めて上品である。","She is quite decent in conduct.","上手, 上着, 出品, 品物, 手品, 作品, 食料品, 申し上げる"
"女将","おかみ","おかみ","proprietress (of a traditional Japanese inn, restaurant, or shop), landlady.","","","女性, 女房, 彼女, 将来, 将棋, 将軍, 中将, 女の子"
"将","しょう","しょう","commander, general.","将を射んと欲すれば先ず馬を射よ。","He who would the daughter win, with the mother must begin.",""
"山元","やまもと","やま.もと","foot of a mountain, base of a mountain.","","","登山, 火山, 鉱山, 元気, 元来, 元々, 還元, 山登り"
"春花","しゅんか","しゅん.か","spring flowers, spring flowers and the autumn moon.","","","青春, 売春, 春先, 早春, 花瓶, 花見, 花壇, 生け花"
"仲居","なかい","なか.い","waitress (in a ryokan or traditional restaurant), hostess.","","","仲人, 仲間, 芝居, 住居, 居間, 居住, 仲良し, 仲直り"
"坂田","","","yellow guitarfish (Rhinobatos schlegelii).","","","坂道, 下坂, 水田, 田舎, 田園, 下り坂, 上り坂, 田植え"
"智子","あきこ","あき.こ","Akiko, Satoko.","","",""
"幽霊","ゆうれい","ゆう.れい","ghost, specter.","その家には幽霊が出るといわれる。","The house is said to be haunted.","幽閉, 幽鬼, 慰霊, 霊園, 慰霊祭"
"妖怪","ようかい","よう.かい","ghost, apparition.","一匹の妖怪がヨーロッパを徘徊している。共産主義という妖怪が。","A spectre is haunting Europe ― the spectre of communism.","妖精, 妖艶, 妖術, 怪我, 怪奇, 怪獣"
"天然","てんねん","てん.ねん","nature, spontaneity.","この車は天然ガスで動く。","This car runs on natural gas.","天気, 天候, 天皇, 自然, 突然, 偶然, 全然, 天気予報"
"間抜け","まぬけ","ま.ぬ","stupid, foolish.","あいつはクラスでいちばんのまぬけだ。","He is the dumbest kid in the class.","昼間, 時間, 人間, 世間, 海抜, 抜け出す"
"宍道","ししどう","しし.どう","Shishidō, Shinji.","","","膂宍, 宍色, 柔道, 水道, 片道, 道具"
"湖","みずうみ","みずうみ","lake, lake (in place names).","湖の深さはどのくらいですか。","What is the depth of the lake?",""
"階","かい","かい","storey, story.","それはもう一つ下の階ですよ。","That's one level down.",""
"源泉","げんせん","げん.せん","source (of a spring, etc.), source (of payment, energy, knowledge, etc.).","","","資源, 電源, 起源, 語源, 温泉, 泉水, 天然温泉"
"厳選","げんせん","げん.せん","careful selection, careful screening.","","","厳重, 厳密, 厳格, 選手, 選択, 選挙, 抽選"
"伯","はく","はく","count, earl.","叔母さんを訪ねた時はすごいごちそうだったね。","What a feast we had when we visited my aunt!",""
"白","しろ","しろ","white, innocence.","２匹犬を飼っているが、１匹は白でもう１匹は黒だ。","I have two dogs. One is white and the other black.",""
"泊","はく","はく","counter for nights of a stay, overnight stay.","１月３日から３泊、お願いします。","For three nights starting January 3rd, please.",""
"泊まる","とまる","と","to stay at (e.g. hotel), to be docked.","まだ住所は決まっていませんので、友達の家にしばらく泊まります。","I don't know my address yet. I'm going to stay with my friend for a while.","宿泊, 停泊"
"伸びる","のびる","の","to stretch, to extend.","このセーターは伸びてすっかり型崩れしている。","This sweater is all stretched out of shape.","追伸, 欠伸"
"未定","みてい","み.てい","not yet fixed, undecided.","計画はまだ未定である。","The plans are still up in the air.","未来, 未満, 未知, 予定, 勘定, 安定, 定規"
"延泊","えんぱく","えん.ぱく","extending one's stay (at a hotel, etc.).","もう一日延泊できますか。","I'd like to stay another night if I can.","延期, 延長, 宿泊, 停泊"
"疑問","ぎもん","ぎ.もん","doubt, question.","何か疑問があったら彼にお尋ねください。","Ask him if you have any doubt.","懐疑, 質問, 問題, 容疑者, 問い合わせ"
"手法","しゅほう","しゅ.ほう","technique, method.","彼の手法は全く驚くべきものだった。","His technique was absolutely amazing.","派手, 上手, 下手, 法律, 文法, 方法, 憲法, 運転手"
"荷造り","にづくり","に.づく","packing, baling.","荷作りはもう終わりましたか。","Have you finished packing yet?","荷物, 重荷, 出荷, 製造, 改造"
"製造","せいぞう","せい.ぞう","manufacture, production.","その工場は玩具を製造している。","The factory manufactures toys.","製品, 製作, 作製, 製鉄, 改造, 荷造り"
