Question,Answer,Furigana,Meaning,Example,Translation
"公表","こうひょう","こう.ひょう","official announcement, proclamation","彼はそれを公表すると脅した。","He threatened to make it public."
"好評","こうひょう","こう.ひょう","favorable reception, good reputation","その劇は好評を得た。","The play got a favorable notice."
"保育園","ほいくえん","ほ.いく.えん","nursery school, day nursery","しげみちゃんを保育園に迎えに行ってもらえる？","Could you please pick Shigemi up for me at the day-care center?"
"苦労","くろう","く.ろう","trouble, hardship","せっかくの苦労もあだになった。","All my pains went for nothing."
"番組","ばんぐみ","ばん.ぐみ","program (e.g. TV), programme","今晩どんな番組がありますか。","What's on the air this evening?"
"曲げる","まげる","ま","to bend, to crook","少年は考えを曲げなかった。","The boy persisted in his opinion."
"保管","ほかん","ほ.かん","charge, custody","領収書は必ず保管してください。","Make sure you save the receipt."
"料金","りょうきん","りょう.きん","fee, charge","料金は会計係へ払って下さい。","Pay your dues to the treasurer."
"値引き","ねびき","ね.び","price reduction, discount","価格を値引きする店もあります。","Some stores discount the price."
"半","はん","はん","half, semi-","半時間したら彼はここに来るでしょう。","He will be here in half an hour."
"額","がく","がく","(picture) frame, framed picture","ボブは装飾された額にその肖像画を収めたけれど、上下さかさまだった。","Bob mounted the portrait in a fancy frame, but it was upside down."
"語尾","ごび","ご.び","(inflectional) ending of a word, end of a sentence","「―osity」は語尾が「―ous」の形容詞から作られる抽象名詞の語尾。","'-osity' is an abstract noun word ending created from the ending of an '-ous' adjective."
"超音波","ちょうおんぱ","ちょう.おん.ぱ","ultrasonic waves, ultrasound","",""
"全力","ぜんりょく","ぜん.りょく","all one's power (strength, energy, efforts), one's utmost","私にできるのは全力を尽くすことだけです。","All I can do is to do my best."
"注ぐ","そそぐ","そそ","to pour (into), to sprinkle on (from above)","私はビニール袋にワインを注ぎ、それからそれを氷水に付けた。","I poured the wine in a plastic bag and then dipped it in ice water."
"相撲","すもう","すもう","sumo (wrestling), sumo wrestler","ここでは私は議論を、なぜ相撲の好きな外国人が多いか、に限定したい。","Here, I'll confine this discussion to why many foreigners enjoy sumo."
"足腰","あしこし","あし.こし","legs and loins, lower body","彼は息子達と一緒に遠くまでハイキングに出かけた時、体調が思わしくなかったので、その翌日、足腰が痛くて思うように動けなかった。","He was out of shape when he took a long hike with his sons, and he was stiff and sore the next day."
"台所","だいどころ","だい.どころ","kitchen, financial situation","メアリーは階段をおりて台所へ行った。","Mary went down to the kitchen."
"厨房","ちゅうぼう","ちゅう.ぼう","kitchen, galley","",""
"習慣","しゅうかん","しゅう.かん","habit, (social) custom","彼はたばこを吸う習慣をやめた。","He got out of the habit of smoking."
"家庭","かてい","か.てい","home, household","食事は家庭で食べますか、外食ですか。","Do you eat at home or eat out?"
"過程","かてい","か.てい","process, course","その過程を彼に説明した。","I explained the process to him."
"調理場","ちょうりば","ちょう.り.ば","kitchen","",""
"昆布","こんぶ","こん.ぶ","kombu (usu. Saccharina japonica), konbu","",""
"含む","ふくむ","ふく","to contain, to comprise","このビタミン剤は栄養分を豊富に含んでいる。","The vitamin pill contains abundant nutrition."
"階層","かいそう","かい.そう","class, level","階層問題に対する、消費社会論の著である。","It is a literary work confronting the class problem of a consumer society."
"改装","かいそう","かい.そう","remodelling, remodeling","家を改装してもらいたいのです。","I want you to refurbish the house."
"海藻","かいそう","かい.そう","seaweed","",""
"旨味","うまみ","うま.み","good flavor (flavour), good taste","",""
"表現","ひょうげん","ひょう.げん","expression, representation","「潮時というものがある」という表現は実はシェイクスピアの「ジュリアス・シーザー」にある表現である。","'There is a tide' is, in fact, from a passage in Shakespeare's Julius Caesar."
"自慢","じまん","じ.まん","pride, boast","われわれは体力を自慢した。","We took pride in our strength."
"誇り","ほこり","ほこ","pride, boast","イギリス人は自国の詩人を誇りにしている。","England is proud of her poets."
"幾つ","いくつ","いく","how many, how old","いいえ、おもちゃがいくつあるかじゃなくて、鍵がいくつあるかなのよ。","No, not how many toys, how many keys?"
"奥谷","おくたに","おく.たに","Okutani, Okudani","",""
"組","くみ","くみ","class (of students), group (of people)","彼はその組の首席だ。","He is at the head of the class."
"神代","かみよ","かみ.よ","ancient time, age of the gods","",""
"知事","ちじ","ち.じ","prefectural governor","州知事は囚人達を自由の身にした。","The governor set the prisoners free."
"都","みやこ","みやこ","capital (esp. Kyoto, Japan's former capital), seat of government","ロンドンはもはや霧の都ではない。","London is no longer a city of fog."
"認める","みとめる","みと","to recognize, to recognise","我々は彼の才能を認めている。","We appreciate his talent."
"府","ふ","ふ","(urban) prefecture (i.e. Osaka and Kyoto), centre (e.g. of learning)","",""
"昭和","しょうわ","しょう.わ","Shōwa era (1926.12.25-1989.1.7), reminiscent of the Shōwa era","昭和１０年は西暦１９３５年です。","The 10th year of Showa is 1935 in the Western calendar."
"出店","しゅってん","しゅっ.てん","opening a new store, opening a new branch","届け出なしに路上に出店してはならない。","You may not set up a roadside stall without prior notice."
"創業","そうぎょう","そう.ぎょう","establishment (of a business), founding","",""
"固有","こゆう","こ.ゆう","characteristic, traditional","羽は鳥に固有のものだ。","Feathers are peculiar to birds."
"県知事","けんちじ","けん.ち.じ","prefectural governor","その県知事は７月の選挙で勝利をおさめました。","The prefectural governor got the upper hand in the July elections."
"当時","とうじ","とう.じ","at that time, in those days","我々はその当時よく放課後に野球をしたものだった。","We would play baseball after school in those days."
"田部","たなべ","たな.べ","Tanabe, Tabu","",""
"名字","みょうじ","みょう.じ","surname, family name","あなたの名字はどうつづるのですか。","How do you spell your family name?"
"翌年","よくねん","よく.ねん","following year","その会社の会計年度は４月から翌年の３月迄である。","The company's financial year runs from April until March of the following year."
"菜漬け","なづけ","な.づ","greens pickled in salt (mizuna, mustard leaves, etc.)","",""
"石臼","いしうす","いし.うす","stone mortar, millstone","",""
"挽く","ひく","ひ","to saw, to grind (e.g. coffee beans)","マメちゃんがコーヒー豆を挽く為にコーヒーミルを使います。","Mame uses a coffee mill to grind coffee beans."
"粉","こな","こな","flour, meal","この小麦は粉にされる。","This wheat is made into flour."
"工程","こうてい","こう.てい","process, operation","それをざっくりと各工程に割り振ったものです。","I just roughly allocated it to each function."
"混ぜる","まぜる","ま","to mix, to stir","水を加え、練り粉がどろどろしない程度に混ぜなさい。","Add water and mix to a firm dough."
"粘土","ねんど","ねん.ど","clay","彼は粘土で像を形作った。","He shaped the statue from clay."
"布","ぬの","ぬの","cloth, fabric","この布は裂けやすい。","This cloth tears easily."
"生地","きじ","き.じ","cloth, fabric","生地を預ければドレスを仕立ててくれますか。","Will you make me up a dress if I give you the material?"
"状態","じょうたい","じょう.たい","state, condition","その古家はひどい状態であった。","The old house was in bad shape."
"込める","こめる","こ","to load (a gun, etc.), to charge","彼はこの銃に弾丸を込めたままにしている。","He keeps this gun loaded."
"材料","ざいりょう","ざい.りょう","materials, ingredients","小麦粉はケーキの主な材料だ。","Flour is the main ingredient in cakes."
"例文","れいぶん","れい.ぶん","example sentence, illustrative sentence","例文の選定がまずかったです。","The choice of example sentence wasn't wise."
"値する","あたいする","あたい","to be worth, to be worthy of","あの博物館はくるに値する。","That museum is worth visiting."
"生","なま","なま","raw, uncooked","アメリカ人にはよくあることだが彼はなまの魚を好かない。","As is often the case with Americans, he does not care for raw fish."
"酒","さけ","さけ","alcohol, sake","僕は酒も煙草もやらないんだ。","I neither drink nor smoke."
"地","ち","ち","earth, ground","どっちが最終的な安息の地となるんだろう。","Which one will be our final resting place?"
"出汁","だし","だ.し","dashi, pretext","",""
"醤油","しょうゆ","しょう.ゆ","soy sauce, soya sauce","同社は醤油その他の食品を生産する。","The company produces soy sauce and other food products."
"一期一会","いちごいちえ","いち.ご.いち.え","once-in-a-lifetime encounter, uniquely precious experience","あの人と巡り会えたのは、一期一会なのでしょうか。","Our meeting like that is probably the kind of thing that only happens once."
"汁","しる","しる","juice, sap","彼女は御茶にレモンの汁をたらした。","She dropped lemon juice into her tea."
"味噌","みそ","み.そ","miso, innards (from crabs, shrimps, etc.) resembling miso","この電子辞書は携帯しやすいところが味噌です。","The good thing about this electronic dictionary is that it's easy to carry."
"一般","いっぱん","いっ.ぱん","general, universal","その理論はまだ一般に認められていない。","The theory is not accepted yet."
"比較","ひかく","ひ.かく","comparison","あなたの答えとトムの答えと比較しなさい。","Compare your answer with Tom's."
"館内","かんない","かん.ない","inside a library, museum, cinema, etc., on the premises","館内に案内所がありますか。","Is there an information counter?"
"案内所","あんないじょ","あん.ない.じょ","information desk","館内に案内所がありますか。","Is there an information counter?"
"閲覧","えつらん","えつ.らん","inspection, reading","",""
"日付","ひづけ","ひ.づけ","date, dating","その手紙の日付はいつですか。","What's the date of the letter?"
"月毎","つきごと","つき.ごと","monthly","",""
"施設","しせつ","し.せつ","facility, facilities","教育施設を拡充する金をもっと多くと望んでいる。","People want more money to expand educational institutions."
"内","うち","うち","inside, within","エイズが私が生きているうちに治ることを願っているよ。","I have a dream that AIDS will be cured in my lifetime."
"受付","うけつけ","うけ.つけ","reception (desk), information desk","きれいな花が受付のデスクに飾ってありました。","There were beautiful flowers on the reception desk."
"宅配","たくはい","たく.はい","home delivery","",""
"出火","しゅっか","しゅっ.か","outbreak of fire","出火のときはそのボタンを押してください。","In case of fire, push the button."
"出","で","で","coming out, going out","彼は貴族の出である。","He springs from a noble family."
"屋敷","やしき","や.しき","residence, estate","彼はいなかの屋敷に住んでいる。","He lives on his country estate."
"洋子","きよこ","きよ.こ","Kiyoko, Namiko","",""
"遺体","いたい","い.たい","(dead) body, corpse","その遺体の身元は頬のほくろで確認された。","The dead body was identified by a mole on the cheek."
"原因","げんいん","げん.いん","cause, origin","それで事故の原因が分かった。","That accounts for the accident."
"足","あし","あし","foot, paw","また足がしびれた。","My foot's asleep again!"
"跡","あと","あと","trace, tracks","その女性の顔には悲しみの跡があった。","The woman's face was marked with grief."
"調査","ちょうさ","ちょう.さ","investigation, examination","その調査は進行中です。","The investigation is under way."
"死因","しいん","し.いん","cause of death","叔父の死因は癌だったそうです。","I hear my uncle died of cancer."
"母","はは","はは","mother","でもさ、母を連れて行かなくてはいけないんだ。","But, I have to take my mother."
"親","おや","おや","parent, parents","アナは、親が知らないうちに結婚した。","Anna married without the knowledge of her parents."
"予約","よやく","よ.やく","reservation, appointment","「ホテルの予約はしてありますか」「すみませんが、まだなんです」","'Have you reserved a hotel room?' 'Sorry, not yet.'"
"に関して","にかんして",".かん","regarding ..., concerning ...","サムは仕事に関してまじめです。","Sam is serious about his work."
"宿","やど","やど","lodging, inn","宿の主人は召使い達にがなりたてた。","The landlord barked at his servants."
"勿論","もちろん","もち.ろん","of course, certainly","「ご一緒してもいいですか」「もちろんです」","'May I go with you?' 'Of course.'"
"荘","しょう","しょう","manor, villa","",""
"不審","ふしん","ふ.しん","doubt, suspicion","警官が不審な歩行者をじっと見つめていた。","A policeman was gazing at a suspicious pedestrian."
"勘弁","かんべん","かん.べん","pardon, forgiveness","同じことを何回繰り返すの。屋上屋を架すようなくどい説明は勘弁してよ。","You're wasting your time with all this needless repetition, so spare us the long-winded explanation."
"英語圏","えいごけん","えい.ご.けん","English-speaking world, English-speaking countries","",""
"先々","さきざき","さき.ざき","distant future, inevitable future","彼は出かけた先々で歓迎された。","He was welcomed wherever he went."
"先々週","せんせんしゅう","せん.せん.しゅう","week before last","",""
"歴史","れきし","れき.し","history","私は地理より歴史が好きだ。","I prefer history to geography."
"長年","ながねん","なが.ねん","many years, a long time","彼は外国に長年住んでいた。","He lived abroad for many years."
"欄","らん","らん","section (e.g. in a newspaper), column","一番最初に見るのはスポーツ欄だよ。","I always read the sports page first."
"旅館","りょかん","りょ.かん","ryokan, traditional Japanese inn","あの旅館は家庭的だ。","The hotel has a homey atmosphere."
"同様","どうよう","どう.よう","same, similar","この車は新車同様だ。","This car is like new."
"提供","ていきょう","てい.きょう","offer, tender","Microsoftがβ版をランチするのは「NetShow streaming server」で動画や音声をオンデマンドで提供する。","What Microsoft is launching is a beta version of its 'NetShow streaming server'; it supplies video and audio on demand."
"日本式","にほんしき","に.ほん.しき","Japanese style, Nihon-shiki romanization (of Japanese)","その庭園は日本式に設定されている。","The garden is laid out in the Japanese style."
"式","しき","しき","way, style","彼は事故でその式に出席できなかった。","An accident prohibited his attending the ceremony."
"木造","もくぞう","もく.ぞう","wooden, made of wood","どちらかといえば木造住宅に住みたい。","I'd rather live in a wooden house."
"船","ふね","ふね","ship, boat","彼らは船を岸に引き上げた。","They drew their boat on the beach."
"階建","かいだて","かい.だて","n-storied building","私の家は2階建てです。","My house is a two-story affair."
"安い","やすい","やす","cheap, inexpensive","これはバーゲン商品なので定価よりやすくなっているんじゃないですか。","Aren't you selling this at a discount price?"
"安眠","あんみん","あん.みん","sound sleep, good sleep","",""
"安値","やすね","やす.ね","low price","",""
"安全","あんぜん","あん.ぜん","safety, security","君は自分の安全にもっと気を配るべきだ。","You should be more thoughtful of your safety."
"責任","せきにん","せき.にん","duty, responsibility (incl. supervision of staff)","けんかは両方に責任がある。","It takes two to make a quarrel."
"仕方","しかた","し.かた","way, method","あなたはチェスの仕方を知っていますか。","Do you know how to play chess?"
"大","おお","おお","large, big","大口叩きは何もできない。","Great talkers are little doers."
"浴場","よくじょう","よく.じょう","bathhouse, (public) bath","これが原因でたいていの街の浴場は困難な状態に陥った。","This caused most of the local bath-houses to fall on hard times."
"外観","がいかん","がい.かん","outward appearance, exterior appearance","Windows Media Playerの新しいスキンを入手し、プレーヤーの外観を変えてみましょう。","Why don't you try out getting a new Windows Media Player skin and changing the player's look?"
"内観","ないかん","ない.かん","introspection, view from the inside","",""
"覚悟","かくご","かく.ご","readiness, (mental) preparedness","兵士たちは故国のために死ぬ覚悟が出来ていた。","The soldiers were ready to die for their country."
"心の準備","こころのじゅんび","こころ..じゅん.び","mental preparedness, being braced for","",""
"巻","まき","まき","roll (e.g. of cloth), winding (e.g. watch)","この全集の５巻目が見当たらない。","The fifth volume of this set is missing."
"巻く","まく","ま","to wind, to coil","長い物には巻かれろ。","If you can't lick 'em, join 'em."
"上品","じょうひん","じょう.ひん","elegant, refined","彼女は行儀が極めて上品である。","She is quite decent in conduct."
"女将","おかみ","おかみ","proprietress (of a traditional Japanese inn, restaurant, or shop), landlady","",""
"将","しょう","しょう","commander, general","将を射んと欲すれば先ず馬を射よ。","He who would the daughter win, with the mother must begin."
"山元","やまもと","やま.もと","foot of a mountain, base of a mountain","",""
"春花","しゅんか","しゅん.か","spring flowers","",""
"仲居","なかい","なか.い","waitress (in a ryokan or traditional restaurant), hostess","",""
"智子","あきこ","あき.こ","Akiko, Satoko","",""
"幽霊","ゆうれい","ゆう.れい","ghost, specter","その家には幽霊が出るといわれる。","The house is said to be haunted."
"妖怪","ようかい","よう.かい","ghost, apparition","一匹の妖怪がヨーロッパを徘徊している。共産主義という妖怪が。","A spectre is haunting Europe ― the spectre of communism."
"天然","てんねん","てん.ねん","nature, spontaneity","この車は天然ガスで動く。","This car runs on natural gas."
"間抜け","まぬけ","ま.ぬ","stupid, foolish","あいつはクラスでいちばんのまぬけだ。","He is the dumbest kid in the class."
"宍道","ししどう","しし.どう","Shishidō, Shinji","",""
"湖","みずうみ","みずうみ","lake, lake (in place names)","湖の深さはどのくらいですか。","What is the depth of the lake?"
"階","かい","かい","storey, story","それはもう一つ下の階ですよ。","That's one level down."
"源泉","げんせん","げん.せん","source (of a spring, etc.), source (of payment, energy, knowledge, etc.)","",""
"厳選","げんせん","げん.せん","careful selection, careful screening","",""
"伯","はく","はく","count, earl","",""
"白","しろ","しろ","white, innocence","２匹犬を飼っているが、１匹は白でもう１匹は黒だ。","I have two dogs. One is white and the other black."
"泊","はく","はく","counter for nights of a stay, overnight stay","１月３日から３泊、お願いします。","For three nights starting January 3rd, please."
"泊まる","とまる","と","to stay at (e.g. hotel), to be docked","まだ住所は決まっていませんので、友達の家にしばらく泊まります。","I don't know my address yet. I'm going to stay with my friend for a while."
"伸びる","のびる","の","to stretch, to extend","このセーターは伸びてすっかり型崩れしている。","This sweater is all stretched out of shape."
"未定","みてい","み.てい","not yet fixed, undecided","計画はまだ未定である。","The plans are still up in the air."
"延泊","えんぱく","えん.ぱく","extending one's stay (at a hotel, etc.)","もう一日延泊できますか。","I'd like to stay another night if I can."
"疑問","ぎもん","ぎ.もん","doubt, question","何か疑問があったら彼にお尋ねください。","Ask him if you have any doubt."
"手法","しゅほう","しゅ.ほう","technique, method","彼の手法は全く驚くべきものだった。","His technique was absolutely amazing."
"荷造り","にづくり","に.づく","packing, baling","荷作りはもう終わりましたか。","Have you finished packing yet?"
"製造","せいぞう","せい.ぞう","manufacture, production","その工場は玩具を製造している。","The factory manufactures toys."
"構造","こうぞう","こう.ぞう","structure, construction","この増加に加えて、世界の経済構造の変化があった。","Along with this increase, there has been a change in the world's economic organization."
"小僧","こぞう","こ.ぞう","youngster, boy","また僕をかつごうとしているのかい、このいたずら小僧め。","Are you going to play tricks on me again, you naughty boy?"
"怪","かい","かい","mystery, wonder","",""
"統計","とうけい","とう.けい","statistics","中国のＧＤＰ統計はオオカミ少年か。","Are the Chinese GDP figures a case of the boy crying wolf?"
"選ぶ","えらぶ","えら","to choose, to select","どうやって新鮮な魚をえらぶのですか。","How can I pick out fresh fish?"
"茂る","しげる","しげ","to grow thickly, to be in full leaf","丘には低い木がたくさん茂っている。","Lots of low trees grow on the hill."
"雑草","ざっそう","ざっ.そう","weed","雑草が急に生えた。","Weeds sprang up in the garden."
"生い先","おいさき","お..さき","one's future","",""
"地図","ちず","ち.ず","map, atlas","どこへ行けばヨーロッパの地図が手に入りますか。","Where can I obtain a map of Europe?"
"員","いん","いん","member","彼はまったくの民主党員だ。","He is heart and soul a Democrat."
"以前","いぜん","い.ぜん","before, prior to","最善を尽くしますが、よくいっても木曜以前に終える事は出来ません。","I'll do my best, but I'll not be able to finish it before Thursday at best."
"建てる","たてる","た","to build, to construct","この寺院は７８０年に建てられた。","This temple dates back to 780."
"調子","ちょうし","ちょう.し","tune, tone","あなたの新しい車は調子よく動いていますか。","Is your new car behaving well?"
"体調","たいちょう","たい.ちょう","physical condition, state of health","最近あまり体調が良くないの。","I have not felt well recently."
"家事","かじ","か.じ","housework, domestic chores","私達は、家事を分担することで合意した。","We agreed to share the housework."
"火事","かじ","か.じ","fire, conflagration","火事の際は１１９番に電話してください。","In the case of fire, dial 119."
"場","ば","ば","place, spot","場が白けた。","The party grew chilly."
"鳴る","なる","な","to sound, to ring","電話は繰り返し鳴っていた。","The telephone rang repeatedly."
"折る","おる","お","to break, to fracture","最後のわら一本がらくだの背骨を折る。","The last straw breaks the camel's back."
"側","そば","そば","near, close","あの窓のそばの机は使うな。","Don't use the desk by that window."
"蕎麦","そば","そば","buckwheat (Fagopyrum esculentum), soba","長野にいる友人を訪問した際、おいしいそばをごちそうになった。","When I visited my friend in Nagano, I was treated to delicious soba."
"傍観","ぼうかん","ぼう.かん","looking on, standing by and watching","世間はいつまでこれらの暴虐を傍観し続けるのか。","How long can the world stand by and watch these atrocities?"
"徹夜","てつや","てつ.や","staying up all night","私はよく徹夜する。","I often stay up all night."
"専門","せんもん","せん.もん","speciality, specialty","",""
"減る","へる","へ","to decrease (in size or number), to diminish","会員は５人に減った。","The number of members decreased to five."
"知識","ちしき","ち.しき","knowledge, information","私のドイツ語の知識は貧弱です。","My knowledge of German is poor."
"感想","かんそう","かん.そう","impressions, thoughts","ゲームについてのご感想は？","How did you feel about the game?"
"大食","たいしょく","たい.しょく","gluttony","かぜには大食、熱には小食。","Feed a cold and starve a fever."
"程度","ていど","てい.ど","degree, amount","この程度のお金じゃ長くは持たないだろう。","This sum of money won't go far."
"利便","りべん","り.べん","convenience","",""
"利","り","り","advantage, benefit","漁夫の利を占める。","A third party makes off with the profits."
"後味","あとあじ","あと.あじ","aftertaste","そのオレンジは後味が変だった。","The orange left a strange taste in my mouth."
"茶","ちゃ","ちゃ","tea, tea plant (Camellia sinensis)","茶はインドで広く栽培されている。","Tea is widely grown in India."
"静か","しずか","しず","quiet, silent","キャプテンは静かにするように命じた。","The captain commanded silence."
"特集","とくしゅう","とく.しゅう","feature (e.g. newspaper), special edition","次号では離婚について特集します。","The next issue will feature articles on divorce."
"版権","はんけん","はん.けん","copyright, publishing rights","この本はまだ版権が生きている。","This book is still copyrighted."
"権","けん","けん","right (to do something), authority","息子は二人とも王位継承権があると主張した。","Both sons pretended to the throne."
"権利","けんり","けん.り","right, privilege","あなたにはそこに行く権利がない。","You have no right to go there."
"権益","けんえき","けん.えき","(one's) interests","",""
"蔵","くら","くら","warehouse, storehouse","",""
"並ぶ","ならぶ","なら","to line up, to stand in a line","列に並んで長い間待たされた後、身分証明として正式な出生証明書が必要だといわれた。","After a long wait in line, she was told she should get a certified copy of her birth certificate as identification."
"作業","さぎょう","さ.ぎょう","work, operation","私がいない間も作業を続けなさい。","Carry on working while I'm away."
"気になる","きになる","き","to weigh on one's mind, to bother one","気になる男性の性欲を刺激するにはどうすればよいのでしょうか？","What should I do to arouse desire in the man I'm interested in?"
"成る","なる","な","to become, to get","あなたがいなくなるととても寂しくなります。","When you go, I'll miss you very much."
"浅い","あさい","あさ","shallow, superficial","この川はあそこで浅くなっている。","This river becomes shallow at that point."
"親父","おやじ","おや.じ","one's father, one's old man","親父はじっと私の顔を見た。","Father looked me full in the face."
"母親","ははおや","はは.おや","mother","その女の子は彼女の母親と似ている。","The girl resembles her mother."
"返し","かえし","かえ","reversal, return","",""
"滞在","たいざい","たい.ざい","stay, sojourn","いまおじの家に滞在しています。","I'm now staying at my uncle's."
"前掛け","まえかけ","まえ.か","apron (waist-down), waist apron","",""
"着物","きもの","き.もの","kimono, Japanese traditional clothing (esp. full-length)","これは、母が買ってくれたたった一枚の着物です。","This is the only kimono that my mother bought me."
"応える","こたえる","こた","to respond, to answer","あなたは御両親の期待に応えるべきだ。","You ought to live up to your parents' hopes."
"悲鳴","ひめい","ひ.めい","shriek, scream","蛇をみたとき、彼女は悲鳴をあげた。","She screamed when she saw a snake."
"駆け付ける","かけつける","か..つ","to run to, to come running","彼女は急いで彼の病床へ駆けつけた。","She came hurrying to his bedside."
"駆る","かる","か","to spur on, to urge forward","彼は衝動に駆られた。","He was borne away by an impulse."
"駆除","くじょ","く.じょ","extermination (of pests), eradication","台所からゴキブリを駆除しなければならない。","I must rid my kitchen of cockroaches."
"駆逐","くちく","く.ちく","expulsion, driving out","悪貨は良貨を駆逐する。","Bad money drives out good."
"駆使","くし","く.し","using freely, making full use of","彼は英語を自由に駆使する。","He has a perfect command of English."
"家中","うちじゅう","うち.じゅう","whole family, entire family","家中が力を合わせて麦の刈入れをしました。","The whole family helped harvest the wheat."
"動き回る","うごきまわる","うご..まわ","to move around, to move about","ウェイトレスは客たちに給仕するのにせわしく動き回った。","The waitress bustled about serving the customers."
"伝い歩き","つたいあるき","つた..ある","walking while holding on to something (such as a wall or table), cruising (of a young child)","",""
"上る","のぼる","のぼ","to ascend, to go up","あなたは、上れませんよ。","You cannot climb!"
"家内","かない","か.ない","(my) wife, inside the home","家内は海外旅行中で、よく電話をかけてくる。","My wife often rings me up, while she travels abroad."
"御主人","ごしゅじん","ご.しゅ.じん","your husband, her husband","あなたのご主人は食事にうるさいのかな？","Is your husband a picky eater?"
"芝居","しばい","しば.い","play, drama","どの芝居がいいですか。","Can you recommend a good play?"
"警部","けいぶ","けい.ぶ","police inspector","",""
"観念","かんねん","かん.ねん","idea, notion","幸福の観念はきわめて抽象的だ。","The idea of happiness is extremely abstract."
"主治医","しゅじい","しゅ.じ.い","attending physician, physician in charge","彼の主治医は全速力でやって来た。","His doctor came with all speed."
"吐く","はく","は","to vomit, to throw up","息を深く吸ったり吐いたりしてください。","Take a deep breath in and out, please."
"借りる","かりる","か","to borrow, to rent","この本をお借りしてもよろしいですか。","May I borrow this book?"
"難","なん","なん","difficulty, trouble","",""
"難関","なんかん","なん.かん","barrier, obstacle","初めの一歩が唯一の難関。","The first step is the hardest."
"救世","きゅうせい","きゅう.せい","salvation","",""
"主","おも","おも","chief, main","読書が彼のおもな楽しみだ。","Reading is his chief amusement."
"毛利","もうり","もう.り","Mouri, Moori","",""
"蘭","らん","らん","orchid, Netherlands","私は温室でランを栽培している。","I grow orchids in my greenhouse."
"活躍","かつやく","かつ.やく","activity (esp. energetic or successful), great efforts","仕事でご活躍ですね。","I see you're doing very well in your business."
"空手","からて","から.て","karate, being empty-handed","空手は武器を用いない護身術である。","Karate is an art of unarmed defense."
"活動","かつどう","かつ.どう","activity (of a person, organization, animal, volcano, etc.), action","テレビを見ることは受動的活動である。","Watching TV is a passive activity."
"一品","いっぴん","いっ.ぴん","item, article","",""
"主将","しゅしょう","しゅ.しょう","commander-in-chief, supreme commander","彼はそのチームの主将になった。","He was made captain of the team."
"剣術","けんじゅつ","けん.じゅつ","(art of) fencing, swordsmanship","",""
"冷静","れいせい","れい.せい","calmness, composure","君はもっと冷静に行動すべきだ。","You should act more calmly."
"沈着","ちんちゃく","ちん.ちゃく","composure, calmness","沈着な彼女の言葉で我々の恐怖は消し飛んだ。","Her calm words banished our fears."
"知性","ちせい","ち.せい","intelligence","読書は知性を発展させることができる。","Reading can develop your mind."
"教養","きょうよう","きょう.よう","(understanding or appreciation of) culture, (one's) education","その医者は教養のある人だ。","The doctor is a man of culture."
"推理","すいり","すい.り","reasoning, inference","彼女は推理作家として有名になった。","She became famous as a mystery writer."
"天下","てんか","てん.か","the whole world, the whole country","日本は天下第一の国である。","Japan is the best country under the sun."
"並","なみ","なみ","average, medium","これは並の能力ではない。","This isn't any ordinary ability."
"忠実","ちゅうじつ","ちゅう.じつ","faithful, devoted","あの翻訳は原文に忠実だそうだ。","That translation is said to be true to the original."
"結末","けつまつ","けつ.まつ","end, conclusion","物語は結末に近づいた。","The story drew to a conclusion."
"餃子","ギョーザ","ギョー.ザ","gyoza, pot sticker","ぎょうざの具のあまりは？餃子を家で作りましたが、皮が少なかったせいか、具が少し余ってしまいました。","Gyoza stuffing? I made some gyoza at home but, possibly because I didn't have enough dough, I had some of the filling left over."
"心地","ここち","ここ.ち","feeling, sensation","くつろげば、自信に満ちて心地もよくなります。","If you are at ease, you are feeling confident and comfortable."
"在庫","ざいこ","ざい.こ","stock, inventory","申し訳ありませんが、在庫がありません。","I'm afraid we are out of stock."
"一目","ひとめ","ひと.め","glance, look","どこかおかしいと一目で私にはわかりました。","I could tell at a glance that something was wrong."
"母国語","ぼこくご","ぼ.こく.ご","language of one's country, mother tongue","英語は私の母国語です。","English is my mother tongue."
"啜る","すする","すす","to slurp, to sip (loudly)","彼は熱いコーヒーをゆっくりすすった。","He sipped the hot coffee slowly."
"背後","はいご","はい.ご","back, rear","「びっくりさせないでよ」と彼女は彼が背後に近づいた時言った。","'Don't scare me!' she screamed as he came up behind her."
"お世辞","おせじ",".せ.じ","flattery, compliment","私達は彼女の料理にお世辞を言った。","We flattered her on her cooking."
"旅","たび","たび","travel, trip","以前は、人々は歩いて旅をしたものだった。","People used to travel on foot."
"旅団","りょだん","りょ.だん","brigade","",""
"旅券","りょけん","りょ.けん","passport","彼は、旅券を余そうとした。","He tried to save something from his travel expenses."
"回転","かいてん","かい.てん","rotation, revolution","こまはぐるぐる回転した。","The top went around and around."
"実質","じっしつ","じっ.しつ","substance, essence","実質成長と名目成長率の差は物価上昇を意味する。","Price increases explain the difference between the real and nominal growth rates."
"宇宙","うちゅう","う.ちゅう","universe, cosmos","宇宙には限りはない。","There is no limit to the universe."
"通る","とおる","とお","to go by, to go past","私は毎日その教会の前を通る。","I go by that church every day."
"配当","はいとう","はい.とう","allotment, apportionment","その会社の株は高配当だ。","The company shares give a high yield."
"幕開け","まくあけ","まく.あ","rise of the curtain, opening of a play","",""
"感性","かんせい","かん.せい","sensitivity, sensitiveness","少女の鋭い感性に触れている。","I am touched by the girl's acute sensitivity."
